Home Inspector,Phone Number,Email,First Name,Last Name
Memphis,,,,
Gemini ,(901) 690-4644,geminihomesinsp@aol.com,Craig,Marr
Professional,(901) 382-2262,,,
Ameri Spec (Steve Anderson),(901) 759-4663,sanderson@amerispec.net,,Anderson
Ameri Spec,(901) 297-4574,,,
Next Step (Andy),(901) 832-7663,,,
Complete Home Inspections,(615)661-0297,chminspect@gmail.com,Michael,
Ward's,(901) 840-3524,,,
Precision,(901) 752-0044,,Jason Lovelace,
Reed & Assoc,(901) 789-5057,,,
Mitchell's,(662) 349-1500,,,
Advantage,(901) 755-4546,,Lance Cripton,
Accu-Check,(901) 383-4333,memphisinspection@comcast.net,Jim,
Home Buyers,(901) 487-6655,inspector329@comcast.net,Vio,
Veracity Home Inspectors,901-236-3691,,,
Murray Home Inspections,(901) 619-2405,asher.murray@yahoo.com,,
Memphis Inspections Services,(901) 734-0555,lisa@memphisinspections.com,Lisa,
Firehouse Home Inspectors,(901) 921-4734,,,
Gene Ballin,(901) 355-9370,gene.ballin@gmail.com,,
Peace of Mind Inspections,(901) 619-7442,michael_hullett@pominspection.com,Michael,
National Property Inspections,(901)497-0943,npi@centurytel.net,Elvin,
Dream Home Inspections,(901) 233-8005,doug@dreamhome1inspections.com,Doug,
In-Home Inspections,(901) 489-1913,,Bill,
Superior Residential Services,(731)695.5142,,,
AmeriSpec Home Inspections (Harold),(901) 725-9988,hsterling@amerispec.net,Harold,
Pillar to Post,(901) 572-7052,,,
Home Analyzers,(901) 737-5397,,,
All-County Inspections,(901) 857-5552,,,
Next Step Home Inspections (Andrew Sobral),(901) 832-7663,,Andrew,
