Inspector,Company,Phone,Website,Email,Notes,,,
Keith Boggs,Stonebriar Property Inspections,214-923-7304,http://www.homeinspection-dallas.com/,,Recall Check,,,
Rudy Ringel,DFW Inspector,972-562-3396,http://www.dfwinspector.com/,rudy@dfwinspector.com,,,,
Cliff Willis,Home Inspection Solutions,214-960-1005,http://www.hisdfw.com/,,,,,
,Green Works,855-349-6757,http://www.dallasgreenworks.com/,support@DallasGreenWorks.com,,,,
,Dallas Semper Fi Home Inspections,214-790-7689,http://semperfiinspection.com/about-us,,,,,
Henry Clifford Jernigan,Foundation Inspections,214-337-5747,http://www.foundationinspections.com/,cjernigan@foundationinspections.com,,,,
Bud Rozell,Good Home Inspection,214-215-4961,http://www.goodhomeinspection.com/,good_home_inspection@yahoo.com,,,,
Lance Lambert,Vista Home Inspections,972-268-1950,,,,,,
,At-Ease Home Inspection,817-909-3254,http://at-easehomeinspection.com/,,,,,
,1st Inspect,214-718-6824,http://www.1stinspect.biz/,,ADT on website,,,
Randy W. Reed,Reed Inspection Services,214-415–0067,http://www.reedinspection.com/index.html,randy@reedinspection.com,already on board- stopped using secure 24 because of acct management,,,
Richard A. Raymond,ProActive Inspection,214-243-4331,http://www.proactivehomeinspection.com/,raraymond@gmail.com,Additional services*****,,,
Clayton Bailey,Green Scene Home Inspectors,214-796-7707,http://www.greenscenehomeinspections.com/,,Using a utility connector,,,
Lance Dunahoe,Inspect 360,972-652-0360,http://www.inspect360.com/about/,,Customer service written everywhere on his site,,,
John Safstrom,Systematic Home Inspections,214-600-4344,http://www.systematichomeinspections.com/,john@systematichomeinspections.com,"""Customer service is my priority""",,,
Jonathon Crow,Texinspec,817-265-5452,http://www.texinspec.com/,,(Recall Check) appliances,,http://www.texinspec.com/TexInspec-Brochure.pdf,
Mike Martin,Advanced Inspection Service,972-342-9183,http://www.realestateinspector.com/dallas-home-inspections,,no services,,,
Ed Martin,Advanced Inspection Service,972-730-6700,http://www.realestateinspector.com/dallas-home-inspections,,,,,
Bryan Moree,Four Corners Inspections,469-247-6955,http://www.fourcornersinspections.com/,,no services,,,
,Amerispec Home Inspections,972-241-3711 ,,,,,,
Don Stafford,Stafford Inspections,214-943-7608,http://www.staffordinspections.com/index.php,,,,,
Bill Olsen,Olsen Home Inspections,214-883-5683,http://olsenhomeinspections.com/about-us/,,Dish Network add on their website,Link your utilities,90 day home warranty free with a free Brinks Security System check,
Jeff Hanna,DFW Home Inspections,214-577-5155,http://www.dfwhomeinspections.com/,,Simple one click website,,,
,Arco Inspectors,214-333-1414 ,,,,,,
Carey S. Allen,True Confidence Home Inspectors,817-600-8389,http://www.trueconfidencehi.com/,,"""As a five time home buyer…""",,,
Steve Cook,Property Condition Consulting,214-729-5543,http://propertyconditionconsulting.com/,,,,,
Dean Freeman,Property Condition Consulting,,,,,,,
Rick Henrichs,Henrichs Home Inspections,972-363-3777,http://www.henrichsinspections.com/hhi/,,,,,
,Highland Engineering,214-228-6266,http://www.highlandeng.com/,,Probably not the best company to call,,,
Justin Joseph,Dallas Professional Home Inspections,972-897-6371,http://dallasinspectionspllc.com/,,Existing added value services,,,
Richard Doty,Heavenly Home Inspection,469-693-2428,http://www.heavenlyhomeinspection.com/,,,,,
,Alliance Inspection Service,972-681-2212,http://www.allianceinspection.com/,,BRINKS - the link doesn't work,,,
Mark&AnitaKissee,Kissee Inspection Services,469-438-8509,http://kisseeinspections.com/index.html,,,,,
Todd Davis,Home Inspection All Star,972-338-4162,http://homeinspectionallstar.com/dallas-tx,,Franchise,,,
Chris Bontrager,343 Inspections,214-800-2001,http://343inspections.com/our-services/,,Founded by 3 firemen - all names on the website,,,
Julian Cofer,Cofer Real Estate Inspections,469-450-0020,http://www.coferinspections.com/,,,,,
,Better Inspections,972-235-5508,http://www.betterinspections.net/5.html,,,,,
Robert Flaa,R Eyes Inspections,940-390-4083,http://reyesinspections.com/,,,,,
Brian K. Moxley,Texstar Inspections,214-500-6771,http://www.texstarinspections.com/,,,,,
Gary Dalton,Dalton Inspection Services,972-414-3156 ,,,,,,
Mr. Barbara Elliott,Yellow Hat Inspections,972) 832-3460,http://yellowhatinspections.com/,,,,,
Sean Green,National Property Inspections,972) 489-5245,http://www.npiweb.com/green-s/Home/tabid/4245/Default.aspx,sean.green@tx.rr.com,,,,
,Lighthoue Engineering,214-577-1077,http://www.lighthouseeng.com/,,More structural/foundation inspections,,,
Aaron D. Miller,Texas Inspector,214-616-0112,http://www.texasinspector.com/blog/,,,,,
Kent Keith,Green Tag Inspection Services,(817) 705-3200,www.fortworthinspector.com,,Has ADT on website,,,
Robert Taylor,AAdvanced Inspections Inc,(972) 612-3946,www.aplusinspection.net,,"""A Thorough Home Inspection Will Save You Money!""",,,
Kevin Weiss,Absolute Inspections LLC,(972) 463-0887,www.absoluteinspections.net,,,,,
Mike Kemper,Elite Inspection Group LLC,(214) 208-1122,www.eiginspection.com,,"""wanted to fill a missing link in the inspection industry"" - reread ""About Us"", Angies List new home discount",,,
David Isbon,Isbon Home Inspections,(817) 794-0770,www.isbon.com,,,,,
JOHNNY GORDEN,BURGESS INSPECTION GROUP,(972) 690-3838,www.burgessinspection.com,jgorden@burgess-inc.com,President of milti inspection firm - there is an approved vendor list,,,
Mr. S Craig Lemmon,Real Estate Inspections of Texas LLC,(817) 291-9056,None - fb & linked in,,,,,
Emmanuel Scanlan,PS Inspection & Property Services LLC,(214) 418-4366,www.psinspection.com,,"""I am a firm believer that a business should be measured by how well that business can satisfy the clients' needs.""",,,
Mark Cosby,Texas House Detectives,(214) 784-5944,www.TexasHouseDetectives.com,,,,,
Brian Murphy,A-Action Realty Inspection Services,(817) 577-9600,www.realtyinspectionsdfw.com,,GET ON BOARD - using Gaylord Security (ADT),,,
Paul Biesiadny,National Property Inspections,817-721-7131,www.npiofdfw.com,,,,,
JIM HEMSELL,A CLoser Look Inspection Services,(214) 244-3118,www.ProfessionalInspector.com,,,,,
NATALIE FOLEY,"BICKHAM CONSULTING, INC",(972) 774-9242,www.bicconsulting.com,,perferred vendors list,,,
Deanna Parks,Richardson Inspection Service,(972) 867-0035,None,,,,,
Bill Figueroa,SmartTeam Property Inspection Group,(972) 678-5510,www.smartteamusa.com,,site not up yet,,,
Rick Comnick,KC QUALITY HOME INSPECTION,(214) 202-9500,www.kcquality.com,,"offer links and perferred vendors list - ""We are always just a phone call away.""",,,
WAYNE WHITTER,WAYNE WHITTER INSPECTIONS,(214) 328-1249,www.inspectormobile.com,,,,,
,Superior Inspection,(972) 814-1502,None,,,,,
,HODGES INSPECTIONS,(214) 808-3276,None,,,,,
Jim Luttrall,Mr Inspector.net,(214) 383-0519,www.mrinspector.net,,resources page,,,
Frank Adame,Star Brite Home Inspection,(214) 680-4378,www.sbhinspections.com,,Page on site dedicated to Turning on Utilities,,,
,WOODARD HOME INSPECTIONS,(214) 616-2255,,,,,,
RANDAL DUNCAN,ALL PRO INSPECTIONS,(972) 463-2907,,,,,,
Jeff Smith,Smith's Complete Home Inspection,(817) 430-4210,,,,,,
VICTOR SEDINGER,HOUSE EXAM INSPECTION & CONSULTING,(817) 797-2461,http://www.houseexamdfw.com,,,,,
MARK LEGROS,LEGROS HOME INSPECTIONS,(972) 462-1343,http://www.inspectigator.com/,,Excellent customer service is their number 1 goal,,,
Brett,Citywide Home Inspections,(817) 903-5275,,,,,,
MIKE CLARKSON,SILVER STAR HOME INSPECTION SERVICES,(817) 996-9800,www.silverstarinspections.com,,,,,
Dale Miller,Trusted Home Inspections PLLC,(817) 988-2721,www.trustedhomeinspections.com,,,,,
NOLAN KIENITZ,NOLAN'S INSPECTIONS LLC,(972) 922-2111,www.NolansInspections.com,,,,,
Mark Prichard,Prichard Brothers Professional Home Inspections,(817) 691-1019,www.prichardbrothers.com,,,,,
Phil Farmer,Farmer Inspections,(817) 891-2444,www.farmerinspections.com,,,,,
Chris Guenther,DFW Accurate Inspections,(972) 955-9832,dfwais.com,,,,,
Richard Taylor,Pro Texas Home Inspections,(817) 412-1022,,,,,,
Andrew Hinz,Ellis County Home Inspections,(972) 978-8875,www.elliscohomeinspections.com,,,,,
Greg,GREG HOWDESHELL INSPECTIONS,(817) 228-4982,,,,,,
,Superior Inspection,(972) 814-1502,www.superiorinspection.org,,,,,
Mark Cunningham,"Detail Home Inspection, LLC",(817) 455-5080,www.d-hi.com,,,,,
Glenn Harrison,HARRISON HOME INSPECTIONS,(214) 535-8397,http://www.harrisonhomeinspections.com/,,,,,
RYAN TANNER,EAGLE EYE HOME INSPECTIONS,(972) 745-8001,,,,,,
Spencer Johns,360 Home Inspections,(469) 682-0353,360homeinspections.com,,,,,
RON BRACKETT,RON BRACKETT HOME INSPECTION SERVICE,(972) 445-1213,,,,,,
Brownie Stonecipher,Brownie Stonecipher Inspections,(940) 368-5668,www.brownieinspects.com,,,,,
Sonny Sanderford,C.M. Sanderford Inspections,(972) 489-9556,,,,,,
Matt Cordio,Infinity Home Inspections,(817) 319-6278,www.Infinity-Inspections.com,,,,,
Roger Gartman,Laser Home Inspections,(817) 480-9259,,,,,,
Deb Sadler,20/20 Home Inspections Inc,(214) 232-2619,www.2020homeinspection.com,,,,,
Richard,TEXAS REALTY INSPECTORS,(972) 772-8625,,,,,,
Troy Thomas,At-Ease Home Inspections,(817) 909-3254,www.aehitx.com,,,,,
,GREG HOWDESHELL INSPECTIONS,(817) 228-4982,,,,,,
,FRANK BURKE INSPECTIONS,(972) 203-2365,,,,,,
,NATIONAL PROPERTY INSPECTIONS,(972) 412-7070,,,,,,
,,,,,,,,
,Zillow,,,,,,,
Paul Wood,"Paul Wood Inspection Group, Inc",(972) 862-9663,http://www.woodinspect.com/,referrals,,,,
Joe Plagens,Platinum Home Inspections,(817) 781-9221,http://www.platinumdfw.com/,,,,,
Mark Leitch,Premier Construction Solutions,(817) 262-0892,http://www.premiercstx.com/,,,,,
Shelly Morgan,Xstream Inspections,(972) 492-7920,http://xstreaminspections.com/,,,,,
Paul Ferguson,A Plus Inspections of Texas,(713) 249-2618,http://www.inspec4.net/,,,,,
,Benitez Property Management Co.,(972) 984-9253,http://aplusinspection.net/,,,,,
Robert Taylor,Aadvanced Inspections Inc.,972-612-3946,http://aplusinspection.net/,,,,,
Stephen Ferguson,Dynamic Property Inspection LLC,(817) 442-9100,http://www.dynamicpropertyinspection.com/,817-797-2067,,,,
Royse R (Skip) Clayton ,Mr. Skip's Home Inspections,214-669-2089 ,http://mrskips.com/,,,,,
Mark Stephens,Stephens Home Inspection Service,972-722-0802,http://stephensinspections.com/,Dish on site,,,,
Tom Tidwell,"Plano Home Inspection, Inc",(972) 985-9999,,,,,,
Ronnie Wiggin,AccuSpec Home Inspections,(817) 648-0111,http://planohomeinspect.com/body_staff.html,,,,,
Rod Figueroa,,(817) 602-6246,http://intellispect.com/,,,,,
Candace Whitsitt,Show-N-Tell Inspections PC,(214) 887-9130,web didn’t work,,,,,
Terry Loftis,The Home Inspection Guys,(972) 896-9659,http://www.thehomeinspectionguys.com/,,,,,
Troy,At-Ease Home Inspections,(817) 909-3254,http://at-easehomeinspections.com/contact.html,,,,,
John Allen,BIIG Inspections,(214) 432-5755,,,,,,
Gabe Ortiz,SafeGuard Home Inspections LLC,(214) 207-7925,http://safeguardhomeinsp.com/,,,,,
Paul,iTO Group Home Inspections,(214) 995-2363,http://www.ito-inspections.com/index.htm,,,,,
Eric Evans,Spectra Property Services ,(817) 492-0161,http://www.spstx.com/,,,,,
Mike,Peace of Mind Home Inspections,(972) 768-7824,http://www.peaceofmindinspections.com/index.htm,,,,,
,Castle Home Inspection,817-907-3035,,(817) 925-6020,,,,
Earl Lanning,NPI,972-880-6305,http://www.npiweb.com/lanning/Home/tabid/6172/Default.aspx,,,,,
Darrell Thomas,A Pro Home Inspection Service,214-385-1353,http://www.a-prodfw.com/,,,,,
Bruce Hopewell,McCool's Property Inspections,(972) 880-1414,,,,,,
,Clyde Crum Appraisals,214-826-0101,http://www.clydecrumappraisal.com/,,,,,
Jerry L. Summerlin,Texas Star Home Inspections,(817) 919-1955,http://www.texasstarhomeinspections.com/,,,,,
Bill Tatum,Sherlock's Home Inspection,(817) 235-1366,http://www.sherlockshomeinspection.com/,,,,,
Mark Willis,"Be Informed Home Inspections, LLC",(972) 822-4001,http://www.beinformedinspections.com/,,,,,
Ron Trammell,PropeR-T-Inspections ,(817) 542-5657,http://www.propertinspect.com/,,,,,
Tom Blowers,1st Look Home Inspection,(817) 228-7251,http://www.thetexasinspector.com/,,,,,
,Cornerstone Home Inspections,(214) 558-9746,,,,,,
Jack Shouse,DFW Property Inspectors,(972)-325-6070,http://dfw-propertyinspectors.com/,,,,,
Richard,Show-N-Tell Inspections P.C.,(214) 642-7853,http://www.sntinspections.com/,,,,,
Brent Giles,Spec-Pro,(972) 804-9836,http://www.spec-pro.net/,,,,,
Blake Williams,Clear Creek Inspections,(940) 367-1708,http://www.yoursuperinspector.com/,,,,,
Jeff Lineberger,Lineberger & Associates,(210) 601-1379,http://structuralsciences.com/,,,,,
Kyle Holland,US Inspect,(817) 401-2041,,,,,,
Sergio Rico,Ricco Home Inspections,(817) 271-1838,http://www.riccohomeinspections.com/,"""one of the most stressful times""",,,,
Jim Starkey,Buyers Protection Group,(469) 964-4590,,,,,,
David Burleson,Clear Sight Inspection,(903) 312-7535,http://www.clearsightinspections.com/,,,,,
Christine Shacklett,Dallas Green Works Home Inspections,(817) 939-0073,http://www.dallasgreenworks.com/,,,,,
Brian Winters,Inspecting DFW,(214) 514-3670,http://www.inspectingdfw.com/,,,,,
Mark Hampton,Hampton Inspection,(214) 514-3670,http://www.hamptoninspection.com/,,,,,
,Pmis TIF,(214) 432-5755,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
